1265 : ('Lassi', 'Panner', 'Sweet')
2391 : ('Cheese', 'Tea Powder')
2409 : ('Panner', 'Tea Powder')
2417 : ('Butter', 'Tea Powder')
2418 : ('Ghee', 'Tea Powder')
2439 : ('Lassi', 'Tea Powder')
2444 : ('Milk', 'Tea Powder')
2445 : ('Bread', 'Tea Powder')
2451 : ('Coffee Powder', 'Tea Powder')
2460 : ('Cheese', 'Sugar')
2466 : ('Lassi', 'Yougurt')
2467 : ('Bread', 'Butter')
2468 : ('Cheese', 'Milk')
2472 : ('Cheese', 'Ghee')
2473 : ('Sugar', 'Tea Powder')
2477 : ('Ghee', 'Yougurt')
2478 : ('Sweet', 'Yougurt')
2479 : ('Bread', 'Sugar')
2482 : ('Coffee Powder', 'Panner')
2483 : ('Butter', 'Panner')
2483 : ('Milk', 'Panner')
2484 : ('Cheese', 'Lassi')
2485 : ('Butter', 'Cheese')
2486 : ('Tea Powder', 'Yougurt')
2491 : ('Butter', 'Milk')
2495 : ('Sugar', 'Sweet')
2496 : ('Coffee Powder', 'Sweet')
2497 : ('Lassi', 'Panner')
2497 : ('Cheese', 'Panner')
2498 : ('Panner', 'Yougurt')
2498 : ('Cheese', 'Sweet')
2501 : ('Butter', 'Lassi')
2502 : ('Butter', 'Coffee Powder')
2503 : ('Sweet', 'Tea Powder')
2503 : ('Lassi', 'Sugar')
2503 : ('Coffee Powder', 'Sugar')
2503 : ('Bread', 'Ghee')
2504 : ('Ghee', 'Sweet')
2505 : ('Panner', 'Sugar')
2505 : ('Panner', 'Sweet')
2506 : ('Bread', 'Lassi')
2507 : ('Bread', 'Yougurt')
2511 : ('Ghee', 'Lassi')
2511 : ('Ghee', 'Milk')
2512 : ('Coffee Powder', 'Lassi')
2512 : ('Milk', 'Sweet')
2513 : ('Milk', 'Yougurt')
2516 : ('Ghee', 'Sugar')
2517 : ('Cheese', 'Coffee Powder')
2517 : ('Bread', 'Milk')
2518 : ('Coffee Powder', 'Milk')
2523 : ('Ghee', 'Panner')
2528 : ('Bread', 'Coffee Powder')
2529 : ('Butter', 'Yougurt')
2529 : ('Sugar', 'Yougurt')
2530 : ('Bread', 'Cheese')
2530 : ('Butter', 'Ghee')
2532 : ('Cheese', 'Yougurt')
2539 : ('Lassi', 'Milk')
2539 : ('Bread', 'Sweet')
2543 : ('Butter', 'Sweet')
2550 : ('Bread', 'Panner')
2555 : ('Coffee Powder', 'Yougurt')
2563 : ('Milk', 'Sugar')
2571 : ('Butter', 'Sugar')
2576 : ('Lassi', 'Sweet')
2578 : ('Coffee Powder', 'Ghee')
5383 : ('Tea Powder',)
5432 : ('Lassi',)
5444 : ('Panner',)
5476 : ('Cheese',)
5481 : ('Butter',)
5482 : ('Sugar',)
5483 : ('Sweet',)
5484 : ('Bread',)
5503 : ('Yougurt',)
5509 : ('Coffee Powder',)
5510 : ('Ghee',)
5526 : ('Milk',)
('Panner', 'Sweet') => ('Lassi',) : conf:0.5049900199600799, support0.10098994092288041
('Lassi', 'Panner') => ('Sweet',) : conf:0.5066079295154186, support0.10098994092288041
