2506 : ('Bread', 'Lassi')
2507 : ('Bread', 'Yougurt')
2511 : ('Ghee', 'Lassi')
2511 : ('Ghee', 'Milk')
2512 : ('Coffee Powder', 'Lassi')
2512 : ('Milk', 'Sweet')
2513 : ('Milk', 'Yougurt')
2516 : ('Ghee', 'Sugar')
2517 : ('Cheese', 'Coffee Powder')
2517 : ('Bread', 'Milk')
2518 : ('Coffee Powder', 'Milk')
2523 : ('Ghee', 'Panner')
2528 : ('Bread', 'Coffee Powder')
2529 : ('Butter', 'Yougurt')
2529 : ('Sugar', 'Yougurt')
2530 : ('Bread', 'Cheese')
2530 : ('Butter', 'Ghee')
2532 : ('Cheese', 'Yougurt')
2539 : ('Lassi', 'Milk')
2539 : ('Bread', 'Sweet')
2543 : ('Butter', 'Sweet')
2550 : ('Bread', 'Panner')
2555 : ('Coffee Powder', 'Yougurt')
2563 : ('Milk', 'Sugar')
2571 : ('Butter', 'Sugar')
2576 : ('Lassi', 'Sweet')
2578 : ('Coffee Powder', 'Ghee')
5383 : ('Tea Powder',)
5432 : ('Lassi',)
5444 : ('Panner',)
5476 : ('Cheese',)
5481 : ('Butter',)
5482 : ('Sugar',)
5483 : ('Sweet',)
5484 : ('Bread',)
5503 : ('Yougurt',)
5509 : ('Coffee Powder',)
5510 : ('Ghee',)
5526 : ('Milk',)
